alpha_id,formula,transpiled,status,sharpe,cagr,max_dd,trades,win_rate,pnl,non_zero_pos_pct,error
Alpha#1,"(rank(Ts_ArgMax(SignedPower(((returns < 0) ? stddev(returns, 20) : close), 2.), 5)) - 0.5)","rank(Ts_ArgMax(SignedPower((where(returns < 0, stddev(returns, 20), close)), 2.), 5)) - 0.5",SUCCESS,-3.42873307671133,0.0,-970.1535971223024,31534,49.514056486856695,-6604703999.999964,99.5898106589781,
Alpha#2,"(-1 * correlation(rank(delta(log(volume), 2)), rank(((close - open) / open)), 6))","-1 * correlation(rank(delta(log(volume), 2)), rank((close - open_) / open_), 6)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#3,"(-1 * correlation(rank(open), rank(volume), 10))","-1 * correlation(rank(open_), rank(volume), 10)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#4,"(-1 * Ts_Rank(rank(low), 9))","-1 * Ts_Rank(rank(low), 9)",SUCCESS,-3.1076808983474784,0.0,-801.4404484389512,23398,51.070483521770505,-8081020000.000025,99.5898106589781,
Alpha#5,"(rank((open - (sum(vwap, 10) / 10))) * (-1 * abs(rank((close - vwap)))))","rank(open_ - (sum_(vwap, 10) / 10)) * (-1 * abs(rank(close - vwap)))",SUCCESS,-5.154622526077343,0.0,-2023.5895552330642,30255,48.38228963142034,-15430928000.000021,99.5630591802158,
Alpha#6,"(-1 * correlation(open, volume, 10))","-1 * correlation(open_, volume, 10)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#7,"((adv20 < volume) ? ((-1 * ts_rank(abs(delta(close, 7)), 60)) * sign(delta(close, 7))) : (-1 * 1)) 9","where(adv20 < volume, (-1 * ts_rank(abs(delta(close, 7)), 60)) * sign(delta(close, 7)), -1 * 1)",SUCCESS,-0.3531041410400114,0.0,-183.02068302068304,1,0.0,0.0,99.64628600303183,
Alpha#8,"(-1 * rank(((sum(open, 5) * sum(returns, 5)) - delay((sum(open, 5) * sum(returns, 5)), 10))))","-1 * rank((sum_(open_, 5) * sum_(returns, 5)) - delay((sum_(open_, 5) * sum_(returns, 5)), 10))",SUCCESS,-2.617705995269768,0.0,-608.7900484148148,28488,48.86790465826517,-4181598000.0000067,99.5898106589781,
Alpha#9,"((0 < ts_min(delta(close, 1), 5)) ? delta(close, 1) : ((ts_max(delta(close, 1), 5) < 0) ? delta(close, 1) : (-1 * delta(close, 1))))","where(0 < ts_min(delta(close, 1), 5), delta(close, 1), where(ts_max(delta(close, 1), 5) < 0, delta(close, 1), -1 * delta(close, 1)))",SUCCESS,-0.5927357944256659,0.0,-122.9149097552433,33139,49.28808511958309,1030321999.999993,99.6433136165027,
Alpha#10,"rank(((0 < ts_min(delta(close, 1), 4)) ? delta(close, 1) : ((ts_max(delta(close, 1), 4) < 0) ? delta(close, 1) : (-1 * delta(close, 1)))))","rank(where(0 < ts_min(delta(close, 1), 4), delta(close, 1), where(ts_max(delta(close, 1), 4) < 0, delta(close, 1), -1 * delta(close, 1))))",SUCCESS,-0.7521035162622006,0.0,-219.49235522871064,31876,50.18980392156863,1714078000.000021,99.5898106589781,
Alpha#11,"((rank(ts_max((vwap - close), 3)) + rank(ts_min((vwap - close), 3))) * rank(delta(volume, 3)))","(rank(ts_max((vwap - close), 3)) + rank(ts_min((vwap - close), 3))) * rank(delta(volume, 3))",SUCCESS,-4.519582555129521,0.0,-1577.8212787593734,27088,48.27872565302733,-12409589999.999994,99.5838658859198,
Alpha#12,"(sign(delta(volume, 1)) * (-1 * delta(close, 1)))","sign(delta(volume, 1)) * (-1 * delta(close, 1))",SUCCESS,-0.35459645834568587,0.0,-183.70037508820144,1,0.0,0.0,99.6433136165027,
Alpha#13,"(-1 * rank(covariance(rank(close), rank(volume), 5)))","-1 * rank(covariance(rank(close), rank(volume), 5))",SUCCESS,-0.351909657223769,0.0,-182.44688698731187,1,0.0,0.0,99.57792111286152,
Alpha#14,"((-1 * rank(delta(returns, 3))) * correlation(open, volume, 10))","(-1 * rank(delta(returns, 3))) * correlation(open_, volume, 10)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#15,"(-1 * sum(rank(correlation(rank(high), rank(volume), 3)), 3))","-1 * sum_(rank(correlation(rank(high), rank(volume), 3)), 3)",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
Alpha#16,"(-1 * rank(covariance(rank(high), rank(volume), 5)))","-1 * rank(covariance(rank(high), rank(volume), 5))",SUCCESS,-0.351909657223769,0.0,-182.44688698731187,1,0.0,0.0,99.57792111286152,
Alpha#17,"(((-1 * rank(ts_rank(close, 10))) * rank(delta(delta(close, 1), 1))) * rank(ts_rank((volume / adv20), 5)))","((-1 * rank(ts_rank(close, 10))) * rank(delta(delta(close, 1), 1))) * rank(ts_rank((volume / adv20), 5))",SUCCESS,0.0,0.0,0.0,0,0.0,0.0,0.0,
