Alpha,Timeframe,Total Trades,Win Rate,Return %,Sharpe,Max Drawdown %,PnL
2,1m,0,0.0,0.0,0.0,0.0,0.0
2,3m,0,0.0,0.0,0.0,0.0,0.0
2,5m,0,0.0,0.0,0.0,0.0,0.0
2,10m,0,0.0,0.0,0.0,0.0,0.0
2,15m,0,0.0,0.0,0.0,0.0,0.0
2,30m,0,0.0,0.0,0.0,0.0,0.0
2,60m,0,0.0,0.0,0.0,0.0,0.0
3,1m,55806,52.57923068696303,-970.5279999999993,-3.168036975040677,-977.4776227723547,-6732240000.000011
3,3m,19478,51.91857506361324,-390.28000000000304,-1.4533326772477067,-398.90400000000363,-2357999999.999997
3,5m,12444,50.72509960159363,-473.8399999999991,-1.7981154449959689,-455.4301726749456,-1505999999.999998
3,10m,6636,48.07174887892376,-468.40000000000293,-1.6152040554477842,-459.5689857109423,-802799999.9999971
3,15m,4818,47.381443298969074,-398.5199999999992,-1.4894623571848147,-350.4853689736951,-596549999.9999986
3,30m,2691,48.90190336749634,-118.2080000000008,-0.39615573426981404,-128.86147671604866,-327839999.9999981
3,60m,1634,47.39393939393939,-124.48799999999956,-0.3926789720512683,-178.72614405725005,-207899999.99999845
4,1m,95055,55.32502350893339,-2892.927999999986,-8.91050220445518,-2926.1636849348215,-11995440000.00006
4,3m,32752,56.977891255150006,-748.383999999996,-2.3851219036352562,-738.7264559854962,-4135920000.0000243
4,5m,20572,57.99040413360399,-338.22399999999584,-1.0955368370896856,-313.49649348790047,-2601120000.0000033
4,10m,10945,56.229422976953735,-603.527999999999,-2.0190623224989994,-482.8550583657578,-1385040000.0000067
4,15m,7632,54.567901234567906,-715.5156000000023,-2.1783726961406074,-536.1047305004863,-996545999.999999
4,30m,4148,51.535682023486906,-741.5520000000008,-2.3387726793531396,-486.6894526548887,-531360000.0000019
4,60m,2205,58.50515463917526,-237.59199999999802,-0.701675863412947,-248.22123001584265,-279360000.00000286
5,1m,44288,58.380982396110035,-1736.8479999999827,-5.9262785095877435,-1739.8653522481186,-5330640000.000023
5,3m,14964,59.984036184648126,-575.6159999999943,-2.3346522980399222,-566.9645656945693,-1804079999.9999804
5,5m,9009,59.87640697417789,-416.8479999999953,-1.6973338607318993,-405.31914893616533,-1087439999.9999971
5,10m,4448,56.45954403218596,-776.960000000001,-2.7302337941122956,-558.4838325943567,-537119999.9999924
5,15m,3176,54.22138836772983,-850.6559999999989,-2.952230024242854,-801.4952153110048,-385200000.00000286
5,30m,1620,56.93251533742332,-290.96000000000055,-1.0730518942222589,-247.57088570593453,-195599999.99999905
5,60m,947,57.17299578059072,-142.53640000000033,-0.4439693403478754,-157.67040417209967,-122291999.99999928
6,1m,62969,51.474530831099194,-1268.104,-4.286844316572326,-1279.7123697180257,-7698720000.0
6,3m,22356,51.07989464442494,-212.72000000000241,-0.8026650722760061,-261.89219449776016,-2733600000.0000005
6,5m,13945,50.569860700717605,-324.6959999999982,-1.1691696924304673,-260.0290697674403,-1705679999.999991
6,10m,7347,48.81491344873502,-543.6239999999977,-1.8780548471035277,-439.2154474020816,-902640000.0000038
6,15m,5312,47.46765249537893,-452.0000000000023,-1.6247075442766599,-376.8947755702727,-649199999.9999995
6,30m,2843,47.070707070707066,-317.600000000001,-1.0593052193680732,-273.16039228092416,-356399999.9999962
6,60m,1805,46.51416122004357,-182.73839999999976,-0.6051573099538713,-201.84493626125698,-214812000.00000048
8,1m,82710,51.50965895540186,-3018.144000000002,-10.014262849892635,-3060.5389172956757,-10061040000.000084
8,3m,27771,53.73557113518873,-794.0319999999937,-2.379443647542974,-794.3652953417578,-3389279999.9999895
8,5m,16770,53.728198525108276,-681.647999999993,-2.007101922462522,-657.1767951567113,-2050559999.9999933
8,10m,8909,54.45916114790287,-206.7200000000025,-0.71839912022821,-150.31873561917848,-1087199999.9999967
8,15m,6047,53.91389432485323,-577.5280000000022,-2.0201146132584955,-491.4408546117789,-735839999.9999943
8,30m,3090,47.46957078795644,-849.1279999999986,-2.7558267352019787,-801.5776880514425,-374639999.99999905
8,60m,1814,53.79609544468546,-316.04000000000076,-0.9182544927660983,-278.6813767589357,-221520000.00000143
11,1m,77304,49.86218232393475,-1879.1599999999924,-7.66286818236653,-1885.1581313212278,-9490800000.00008
11,3m,27037,51.07546219696425,-638.687999999998,-2.573575570987247,-632.1321321321308,-3336240000.000004
11,5m,16733,50.94822571262362,-303.7599999999964,-1.2295262151603479,-277.268930957681,-2062799999.999992
11,10m,8529,49.81642955484167,-692.3840000000025,-2.621183326955725,-640.5399521010239,-1045920000.0000019
11,15m,6023,49.280575539568346,-799.3852000000003,-3.10494155952322,-772.0404442929014,-752514000.0000124
11,30m,3966,47.593582887700535,-526.5360000000021,-2.164266579626768,-390.4837042276526,-493680000.0000019
11,60m,2180,50.76370170709793,-68.42399999999972,-0.23070141655657062,-106.59874106476049,-267119999.99999946
12,1m,107069,47.79707869769981,-3070.216,-10.839367759440545,-3156.0293028232823,-14068400000.000021
12,3m,31020,48.03846830469712,-1172.0879999999986,-4.443719532108792,-1167.3914774990042,-4092959999.999998
12,5m,19160,47.38171572913631,-881.4079999999923,-3.671537365892465,-878.2948207171238,-2470560000.0
12,10m,10411,48.879727549740096,-339.1919999999989,-1.422978527231381,-339.1919999999989,-1338960000.0000017
12,15m,7376,48.93184130213632,-450.8159999999997,-1.712176715046537,-399.74025974026006,-943679999.9999952
12,30m,4000,45.9636024265049,-499.9040000000007,-1.9752103102385627,-375.26451400690763,-514320000.0000076
12,60m,2346,46.61016949152542,-336.3594000000017,-1.2166644357318848,-318.5890475608997,-303731999.99999905
13,1m,85285,46.81826233283146,-2808.8959999999906,-8.639168696946353,-2841.3536269429974,-10842799999.999996
13,3m,29276,48.80967700424656,-590.4800000000039,-1.998143247837873,-511.39367912500944,-3733520000.000019
13,5m,18156,50.12417218543046,-83.81600000000111,-0.3006109520865849,-173.8103605819895,-2319599999.999999
13,10m,9772,50.46800382043936,-154.88000000000505,-0.5166982525712881,-158.3470655342918,-1256400000.0000033
13,15m,7037,48.70095440084835,-325.496000000004,-1.0784875495828663,-330.5468579334488,-905279999.9999995
13,30m,3934,46.46080760095012,-634.3039999999978,-2.104210311624143,-554.3088994701872,-506640000.0000038
13,60m,2167,49.4468085106383,-317.03899999999845,-0.9001524378564757,-297.2629654093271,-303150000.00000477
14,1m,86488,49.1582877167266,-2079.408,-7.6891400786924855,-2108.654002273096,-10478640000.000084
14,3m,29158,49.63008212855494,-413.9840000000019,-1.843853054653748,-418.61600000000135,-3535919999.9999933
14,5m,18062,49.233464739378014,-478.4159999999992,-1.9654092149525912,-356.49647603163544,-2191679999.999999
14,10m,10009,46.72730868103619,-449.1200000000039,-1.5799883536267572,-354.26118234031696,-1217120000.000011
14,15m,7086,46.43356643356643,-449.24000000000655,-1.6043756851082347,-446.2582886012067,-857999999.9999976
14,30m,3502,48.856664807585055,-43.14400000000165,-0.15290572556706078,-89.41959214583282,-430320000.00000244
14,60m,1932,45.69672131147541,-169.808,-0.6376499828991189,-169.05173009185725,-234239999.99999928
15,1m,72606,47.767402143073575,-1864.2640000000022,-6.776303753030526,-1871.2071319572758,-8712720000.00003
15,3m,24784,50.258231116849586,-361.4159999999957,-1.4599295981474778,-347.6638282117689,-2974079999.9999905
15,5m,15424,50.363070539419084,-349.8160000000018,-1.253345177079793,-338.48327478234455,-1850880000.000007
15,10m,7790,49.216944801026955,-376.76000000000266,-1.4048595672846826,-291.07430041814285,-934800000.0
15,15m,5772,49.72279972279972,-197.9124000000009,-0.7585988105725925,-179.379682554142,-727272000.0000024
15,30m,2880,47.43055555555556,-312.88000000000017,-1.2571214418375816,-317.92296132247134,-345599999.9999962
15,60m,1787,50.27995520716685,-13.579200000000224,-0.04569194041368458,-77.92514998661059,-219924000.00000614
16,1m,86497,48.31854935379116,-2492.367999999996,-7.691620265778558,-2502.940940136599,-11012160000.000008
16,3m,29690,49.390940236010664,-719.4800000000006,-2.2164056846927775,-695.4473145973766,-3786319999.999999
16,5m,18574,50.67451059945228,-291.4160000000038,-1.0092580337795563,-277.3609314359668,-2363199999.999998
16,10m,9863,50.07561436672968,-432.06400000000065,-1.4685870995156116,-328.94649751792775,-1266640000.000001
16,15m,7083,48.82119205298013,-572.2370000000031,-1.7192393967521982,-472.13747954173823,-928650000.000001
16,30m,3984,46.16822429906542,-615.6239999999985,-2.143445735516327,-579.9187168880173,-513839999.9999981
16,60m,2252,49.10277324632953,-203.6495999999997,-0.6060702543734668,-165.90797976619774,-309204000.0000007
17,1m,73486,49.45462360969319,-2178.535999999989,-8.563856762305646,-2191.5875060376684,-8933280000.000147
17,3m,24628,47.87713091026053,-1047.6879999999883,-4.315775137475267,-1042.8605539636947,-2984640000.0000153
17,5m,14980,48.04025423728814,-700.0959999999975,-3.950581401218718,-663.1531531531501,-1812480000.0000143
17,10m,8056,50.320987654320994,-165.19999999999885,-1.038084557276801,-164.89655172413688,-972000000.0000024
17,15m,5724,49.18203967977723,-239.98400000000015,-1.4522890381936011,-239.73573191116793,-689519999.9999995
17,30m,2918,46.35806671204901,-293.1519999999991,-1.627048844265688,-292.12196254449697,-352560000.00000525
17,60m,1693,44.65334900117509,-323.24040000000053,-1.5123872941954037,-288.0983933250358,-214451999.99999952
18,1m,141109,52.43602865916069,-3133.199999999978,-11.798501087911472,-3124.972075953387,-18758400000.00054
18,3m,49066,51.81442850934377,-1832.5759999999875,-6.718611707729284,-1820.6006196869694,-6626880000.00004
18,5m,30020,50.35983954695611,-1405.4559999999897,-5.30490221594854,-1405.4559999999897,-4068480000.0000153
18,10m,16059,54.72189092486176,-41.62399999999376,-0.13287796404534688,-109.11614534278387,-2213519999.9999967
18,15m,11225,51.38302859821847,-443.2159999999969,-1.4376165749353087,-339.0301890965374,-1537199999.9999995
18,30m,5825,49.14996964177292,-831.1759999999986,-2.6575231162649846,-562.1747024409915,-790800000.000001
18,60m,3286,50.56603773584906,-625.0799999999997,-1.8032428311531312,-614.3863494051343,-445199999.99999905
19,1m,61873,54.64047421322413,-2271.847999999999,-7.477810408330594,-2271.847999999999,-8381040000.000017
19,3m,20171,56.446208112874785,-795.783999999993,-2.767456005446721,-795.1722484213822,-2725039999.9999943
19,5m,11784,56.87160940325497,-829.0879999999966,-2.90466849437498,-815.8589270285098,-1592640000.0000038
19,10m,6082,57.134485789627895,-373.1753999999984,-1.341012836910257,-214.5673511871309,-798642000.0000114
19,15m,4278,56.64860358482701,-285.2159999999979,-0.8829962685306927,-214.29479034307514,-577199999.9999976
