Timestamp,Strategy,Initial Capital,Net Equity,Total Profit,Total Fees,Total Trades,Largest Win,Largest Loss,Avg Win,Avg Loss,Unrealized PnL,Cumulative Return,CAGR,Win Rate,Profit Factor (PF),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Payoff Ratio,Volatility,Max Drawdown,Recovery Factor,Kelly Criterion,Omega Ratio,Ulcer Index,VaR,CVaR
2026-06-16 01:37:42,Hikkake_Reversal_ADX_Trail_15m.py,1.000.000.000 ₫,5.329.760.000 ₫,+432.98%,+30.14%,1220,+13.29%,-11.63%,+0.29%,-0.25%,4.329.760.000 ₫,+432.98%,+75.33%,+49.13%,1.43,1.31,3.36,4.75,1.48,0.36,-15.87%,27.28,+14.67%,1.43,0.06,-3.46%,-3.91%
2026-06-16 01:38:25,Kama_Natr_Trend_Follow_15m_15m.py,1.000.000.000 ₫,5.432.080.000 ₫,+443.21%,+31.15%,1264,+12.25%,-11.40%,+0.29%,-0.24%,4.432.080.000 ₫,+443.21%,+76.45%,+49.40%,1.43,1.35,3.47,5.03,1.47,0.35,-15.21%,29.14,+14.90%,1.43,0.06,-3.36%,-3.78%
2026-06-16 01:39:08,LinearReg_Slope_Cci_Momentum_Follow_15m.py,1.000.000.000 ₫,5.329.760.000 ₫,+432.98%,+30.14%,1220,+13.29%,-11.63%,+0.29%,-0.25%,4.329.760.000 ₫,+432.98%,+75.33%,+49.13%,1.43,1.31,3.36,4.75,1.48,0.36,-15.87%,27.28,+14.67%,1.43,0.06,-3.46%,-3.91%
2026-06-16 01:59:05,MACD_ADX_Regime_Follow_15m.py,1.000.000.000 ₫,5.432.080.000 ₫,+443.21%,+31.15%,1264,+12.25%,-11.40%,+0.29%,-0.24%,4.432.080.000 ₫,+443.21%,+76.45%,+49.40%,1.43,1.35,3.47,5.03,1.47,0.35,-15.21%,29.14,+14.90%,1.43,0.06,-3.36%,-3.78%
2026-06-16 02:00:23,Natr_Adx_Linear_Breakout_15m.py,1.000.000.000 ₫,4.466.640.000 ₫,+346.66%,+91.06%,2398,+12.10%,-12.10%,+0.60%,-0.49%,3.466.640.000 ₫,+346.66%,+65.24%,+52.03%,1.28,1.28,1.83,1.85,1.18,0.58,-35.34%,9.81,+11.34%,1.28,0.13,-5.73%,-8.09%
2026-06-16 02:01:41,Parabolic_SAR_MFI_Structural_Breakout_5m.py,1.000.000.000 ₫,-592.640.000 ₫,-100.00%,+645.02%,26862,+8.23%,-6.48%,+0.12%,-0.08%,-1.592.640.000 ₫,-100.00%,-100.00%,+39.73%,0.94,-0.72,-0.3,-1.0,1.17,1.48,-100.00%,-1.0,-11.78%,0.94,0.65,-15.52%,-22.89%
2026-06-16 02:03:04,PPO_CMO_ATR_Trail_5m.py,1.000.000.000 ₫,-2.891.440.000 ₫,-100.00%,+446.06%,18585,+9.95%,-7.56%,+0.13%,-0.08%,-3.891.440.000 ₫,-100.00%,-100.00%,+37.47%,1.22,-2.16,1.16,-1.0,1.11,2.07,-100.00%,-1.0,-18.72%,1.22,1.71,-20.91%,-26.75%
2026-06-16 02:04:32,Session_Williams_R_Volatility_Squeeze_15m.py,1.000.000.000 ₫,5.466.800.000 ₫,+446.68%,+45.84%,1899,+9.02%,-21.65%,+0.45%,-0.29%,4.466.800.000 ₫,+446.68%,+76.83%,+50.86%,1.52,1.98,3.26,2.32,1.47,0.35,-33.10%,13.49,+17.32%,1.52,0.08,-3.35%,-4.09%
2026-06-16 02:05:20,Slope_CMO_ADXR_Trend_10m.py,1.000.000.000 ₫,7.097.120.000 ₫,+609.71%,+68.93%,2869,+10.53%,-18.05%,+0.30%,-0.21%,6.097.120.000 ₫,+609.71%,+93.01%,+49.73%,1.54,2.22,3.7,4.46,1.56,0.35,-20.83%,29.27,+17.53%,1.54,0.05,-3.39%,-4.15%
2026-06-16 02:06:38,TestOptuna_10m.py,1.000.000.000 ₫,7.127.680.000 ₫,+590.83%,+117.31%,4315,+9.98%,-23.89%,+0.35%,-0.26%,6.127.680.000 ₫,+590.83%,+91.27%,+56.13%,1.36,1.86,2.34,1.85,1.06,0.5,-49.31%,11.98,+14.87%,1.36,0.15,-4.90%,-7.48%
2026-06-16 02:08:01,Triangular_Aroon_Trend_Follower_5m.py,1.000.000.000 ₫,-2.984.720.000 ₫,-100.00%,+794.71%,31242,+8.26%,-6.67%,+0.10%,-0.08%,-3.984.720.000 ₫,-100.00%,-100.00%,+41.73%,1.1,-1.5,0.51,-1.0,1.08,1.35,-100.00%,-1.0,-12.04%,1.1,1.28,-13.79%,-16.91%
2026-06-16 02:08:53,Triple_Exponential_CCI_Volatility_Regime_10m.py,1.000.000.000 ₫,7.265.200.000 ₫,+626.52%,+100.32%,4171,+11.26%,-18.75%,+0.38%,-0.24%,6.265.200.000 ₫,+626.52%,+94.53%,+52.14%,1.43,2.28,2.8,2.7,1.32,0.44,-35.05%,17.87,+15.75%,1.43,0.09,-4.25%,-5.94%
2026-06-16 02:10:17,Triple_Exponential_Moving_Average_CCI_Swing_15m.py,1.000.000.000 ₫,4.903.280.000 ₫,+390.33%,+26.35%,1098,+8.84%,-19.72%,+0.47%,-0.27%,3.903.280.000 ₫,+390.33%,+70.49%,+48.77%,1.78,2.17,3.7,2.81,1.87,0.28,-25.05%,15.58,+21.37%,1.78,0.05,-2.70%,-2.90%
2026-06-16 02:11:30,Zscore_LinearReg_Trend_Follow_10m.py,1.000.000.000 ₫,8.586.240.000 ₫,+758.62%,+98.38%,2629,+11.02%,-20.38%,+0.26%,-0.22%,7.586.240.000 ₫,+758.62%,+105.75%,+56.80%,1.52,2.32,3.31,2.73,1.16,0.39,-38.68%,19.61,+19.47%,1.52,0.08,-3.74%,-5.38%
2026-06-16 12:32:19,Mcts_Atr_3eb1_15m.py,1.000.000.000 ₫,1.750.272.000 ₫,+75.03%,+8.57%,890,+7.68%,-5.52%,+0.29%,-0.25%,750.272.000 ₫,+75.03%,+20.66%,+47.86%,1.17,0.64,1.24,0.82,1.28,0.28,-25.25%,2.97,+7.11%,1.17,0.1,-2.84%,-3.89%
2026-06-16 12:33:12,Mcts_Cmo_Atr_c581_30m.py,1.000.000.000 ₫,1.439.184.000 ₫,+43.92%,+3.18%,662,+4.21%,-2.85%,+0.23%,-0.18%,439.184.000 ₫,+43.92%,+12.99%,+47.85%,1.22,0.83,1.53,1.07,1.33,0.14,-12.10%,3.63,+8.78%,1.22,0.05,-1.40%,-1.87%
2026-06-16 12:34:29,Mcts_Cmo_Ema_Wma_6be8_1m.py,1.000.000.000 ₫,1.868.096.000 ₫,+86.46%,+26.70%,5563,+2.82%,-3.93%,+0.04%,-0.04%,868.096.000 ₫,+86.46%,+23.25%,+52.13%,1.33,1.51,2.53,3.6,1.22,0.14,-6.45%,13.4,+12.93%,1.33,0.02,-1.38%,-1.86%
2026-06-16 12:35:36,Mcts_Cmo_Wma_057c_1m.py,1.000.000.000 ₫,2.895.008.000 ₫,+188.37%,+54.60%,5686,+9.68%,-6.76%,+0.06%,-0.06%,1.895.008.000 ₫,+188.37%,+42.67%,+52.80%,1.38,1.65,2.76,3.51,1.23,0.23,-12.16%,15.49,+14.47%,1.38,0.03,-2.22%,-2.99%
2026-06-16 12:36:48,Mcts_Dema_76ef_1m.py,1.000.000.000 ₫,3.799.264.000 ₫,+276.17%,+59.15%,6158,+8.73%,-6.14%,+0.05%,-0.04%,2.799.264.000 ₫,+276.17%,+55.98%,+53.47%,1.62,2.41,4.49,6.37,1.41,0.19,-8.79%,31.44,+20.54%,1.62,0.02,-1.76%,-2.26%
2026-06-16 12:37:55,Mcts_Dema_9feb_1m.py,1.000.000.000 ₫,2.305.552.000 ₫,+129.45%,+34.71%,7226,+2.29%,-3.67%,+0.04%,-0.03%,1.305.552.000 ₫,+129.45%,+32.14%,+52.60%,1.56,2.3,4.25,5.36,1.41,0.12,-5.99%,21.6,+18.97%,1.56,0.02,-1.11%,-1.46%
2026-06-16 12:39:03,Mcts_Dema_b5a2_1m.py,1.000.000.000 ₫,1.928.404.000 ₫,+92.02%,+34.69%,9622,+1.93%,-2.03%,+0.03%,-0.03%,928.404.000 ₫,+92.02%,+24.47%,+53.61%,1.53,2.25,4.1,5.32,1.33,0.1,-4.60%,19.99,+18.61%,1.53,0.01,-0.90%,-1.18%
2026-06-16 12:40:15,Mcts_Dema_ba7b_1m.py,1.000.000.000 ₫,1.715.912.000 ₫,+71.27%,+12.51%,5209,+2.78%,-2.04%,+0.02%,-0.02%,715.912.000 ₫,+71.27%,+19.79%,+53.74%,1.56,2.39,4.27,5.63,1.34,0.08,-3.52%,20.26,+19.22%,1.56,0.01,-0.72%,-0.92%
